<<<<<<< HEAD
Mul_940 36913 36949
Mul_943 36954 36990
Mul_945 36997 37042
Mul_949 37049 37085
Mul_96 37089 37130
Mul_951 37137 37173
Mul_954 37177 37215
Mul_956 37223 37260
Mul_960 37267 37326
Mul_962 37335 37372
Mul_965 37376 37408
Mul_967 37413 37451
Mul_970 37455 37488
Mul_972 37492 37530
Mul_975 37534 37569
Mul_977 37576 37610
Mul_981 37623 37660
Mul_983 37665 37698
Mul_100 37702 37742
Mul_986 37746 37780
Mul_988 37786 37825
Mul_992 37832 37869
Mul_994 37872 37905
Mul_997 37914 37950
Mul_999 37956 37991
Mul_1003 37998 38039
Mul_102 38043 38076
Mul_1005 38081 38118
Mul_1008 38123 38158
Mul_1010 38164 38199
Mul_1014 38210 38246
Mul_1016 38250 38282
Mul_1019 38287 38327
Mul_1021 38331 38363
Mul_1024 38367 38405
Mul_1026 38409 38443
Mul_1029 38447 38485
Mul_1031 38492 38533
Mul_1035 38539 38575
Mul_1037 38584 38620
Mul_105 38624 38657
Mul_1040 38661 38701
Mul_1042 38708 38744
Mul_1046 38751 38791
Mul_1048 38795 38831
Mul_1051 38835 38868
Mul_1053 38876 38912
Mul_1056 38916 38950
Mul_107 38953 38994
Mul_1058 38998 39031
Mul_1061 39035 39073
Mul_1063 39081 39118
Mul_1067 39124 39159
Mul_1069 39167 39202
Mul_1072 39206 39239
Mul_1074 39245 39287
Mul_1078 39294 39328
Mul_1080 39332 39374
Mul_1083 39378 39413
Mul_1085 39417 39450
Mul_1088 39458 39494
Mul_1090 39498 39531
Mul_110 39534 39573
Mul_1093 39577 39610
Mul_1095 39617 39658
Mul_1098 39665 39702
Mul_1100 39706 39739
Mul_1104 39747 39783
Mul_1106 39787 39819
Mul_112 39823 39862
Mul_115 39866 39900
Mul_117 39906 39946
Mul_121 39952 39989
Mul_123 39993 40031
Mul_13 40035 40070
Mul_126 40077 40117
Mul_128 40129 40166
Mul_132 40182 40220
Mul_134 40224 40268
Mul_137 40272 40306
Mul_139 40312 40352
Mul_143 40358 40395
Mul_15 40399 40432
Mul_145 40444 40480
Mul_148 40485 40518
Mul_150 40525 40566
Mul_154 40573 40607
Mul_156 40612 40651
Mul_159 40654 40713
Mul_161 40717 40750
Mul_19 40759 40794
Mul_21 40797 40831
Mul_164 40834 40875
Mul_166 40879 40912
Mul_169 40916 40957
Mul_171 40964 41002
global_step/cond/Switch_1 41009 41023
global_step/cond/Read/ReadVariableOp/Switch 41031 41046
add_698 41049 41128
PolynomialDecay/Cast_2 41132 41191
Mul_175 41195 41231
Mul_177 41235 41274
Reshape_1 41278 41292
mul_1076 41296 41331
mul_1033 41344 41382
mul_1044 41389 41458
mul_979 41465 41507
mul_990 41514 41549
mul_1001 41555 41595
mul_1012 41601 41639
mul_947 41646 41686
mul_958 41693 41730
mul_893 41737 41773
mul_904 41785 41823
mul_915 41830 41870
mul_926 41876 41918
mul_861 41924 41959
mul_872 41966 42007
mul_807 42013 42052
mul_818 42058 42098
mul_829 42105 42142
mul_840 42149 42183
mul_775 42195 42233
mul_786 42240 42276
mul_721 42283 42325
mul_732 42332 42367
mul_743 42373 42412
mul_754 42419 42456
mul_689 42462 42504
mul_700 42512 42549
mul_635 42556 42591
mul_646 42602 42639
mul_657 42646 42681
mul_668 42687 42728
mul_603 42734 42769
mul_614 42775 42815
mul_549 42822 42859
mul_560 42866 42901
mul_571 42911 42948
mul_582 42954 42989
mul_517 42999 43037
mul_528 43043 43083
mul_463 43089 43132
mul_474 43138 43173
mul_485 43180 43219
mul_496 43226 43263
mul_431 43269 43304
mul_442 43315 43353
mul_377 43360 43395
mul_388 43402 43443
mul_399 43450 43486
mul_410 43492 43539
mul_345 43545 43582
mul_356 43588 43629
mul_291 43635 43673
mul_302 43679 43715
mul_313 43726 43763
mul_324 43769 43807
mul_259 43813 43855
mul_270 43862 43898
mul_205 43905 43946
mul_216 43952 43990
mul_227 43995 44034
mul_238 44041 44078
mul_173 44084 44120
mul_184 44131 44179
mul_119 44187 44226
mul_130 44232 44274
mul_141 44281 44316
mul_152 44322 44362
mul_87 44369 44406
mul_98 44413 44483
mul_33 44495 44532
mul_44 44539 44574
bert/encoder/layer_11/attention/self/dropout/random_uniform/mul 44617 44630
bert/encoder/layer_10/attention/self/dropout/random_uniform/mul 44633 44641
bert/encoder/layer_9/attention/self/dropout/random_uniform/mul 44651 44658
bert/encoder/layer_8/attention/self/dropout/random_uniform/mul 44661 44668
bert/encoder/layer_7/attention/self/dropout/random_uniform/mul 44675 44753
bert/encoder/layer_6/attention/self/dropout/random_uniform/mul 44760 44786
bert/encoder/layer_5/attention/self/dropout/random_uniform/mul 44789 44810
bert/encoder/layer_4/attention/self/dropout/random_uniform/mul 44812 44820
bert/encoder/layer_3/attention/self/dropout/random_uniform/mul 44823 44834
bert/encoder/layer_2/attention/self/dropout/random_uniform/mul 44837 44846
bert/encoder/layer_1/attention/self/dropout/random_uniform/mul 44848 44855
bert/encoder/layer_0/attention/self/dropout/random_uniform/mul 44861 44868
mul_55 44871 44983
bert/encoder/Cast 44872 45031
mul_66 45000 45053
bert/encoder/layer_11/output/dropout/random_uniform/mul 45060 45071
bert/encoder/layer_11/attention/output/dropout/random_uniform/mul 45074 45086
bert/encoder/layer_10/output/dropout/random_uniform/mul 45088 45095
bert/encoder/layer_10/attention/output/dropout/random_uniform/mul 45099 45108
bert/encoder/layer_9/output/dropout/random_uniform/mul 45111 45119
bert/encoder/layer_9/attention/output/dropout/random_uniform/mul 45121 45147
bert/encoder/mul 45038 45141
bert/encoder/layer_8/output/dropout/random_uniform/mul 45153 45163
bert/encoder/layer_8/attention/output/dropout/random_uniform/mul 45166 45173
bert/encoder/layer_11/attention/self/ExpandDims 45153 45173
bert/encoder/layer_7/output/dropout/random_uniform/mul 45176 45186
bert/encoder/layer_7/attention/output/dropout/random_uniform/mul 45189 45197
bert/encoder/layer_6/output/dropout/random_uniform/mul 45199 45209
bert/encoder/layer_6/attention/output/dropout/random_uniform/mul 45212 45220
bert/encoder/layer_5/output/dropout/random_uniform/mul 45222 45229
bert/encoder/layer_5/attention/output/dropout/random_uniform/mul 45235 45243
bert/encoder/layer_11/attention/self/sub 45178 45245
bert/encoder/layer_4/output/dropout/random_uniform/mul 45246 45253
bert/encoder/layer_4/attention/output/dropout/random_uniform/mul 45256 45266
bert/encoder/layer_3/output/dropout/random_uniform/mul 45269 45276
bert/encoder/layer_3/attention/output/dropout/random_uniform/mul 45278 45289
bert/encoder/layer_11/attention/self/mul_1 45250 45308
bert/encoder/layer_2/output/dropout/random_uniform/mul 45291 45313
bert/encoder/layer_2/attention/output/dropout/random_uniform/mul 45317 45327
bert/encoder/layer_1/output/dropout/random_uniform/mul 45333 45341
bert/encoder/layer_1/attention/output/dropout/random_uniform/mul 45343 45350
bert/encoder/layer_0/output/dropout/random_uniform/mul 45353 45363
bert/encoder/layer_0/attention/output/dropout/random_uniform/mul 45366 45373
mul_17 45375 45432
mul_5 45439 45485
cls/predictions/Sum_2 45494 45601
gradients/bert/embeddings/embedding_lookup_grad/Reshape_1 45656 45669
mul_11 45712 45805
bert/embeddings/dropout/random_uniform/mul 45810 45829
mul_1065 45832 45882
bert/embeddings/one_hot 46066 46171
mul_1102 45890 46180
cls/seq_relationship/one_hot 46096 46261
global_step/cond/Read/ReadVariableOp 46207 46265
bert/embeddings/embedding_lookup 46197 46283
AssignVariableOp 46270 46296
bert/embeddings/Reshape 46292 46304
cls/predictions/one_hot 46118 46313
bert/embeddings/MatMul 46177 46373
gradients/cls/seq_relationship/mul_grad/Mul_1 46269 46397
bert/embeddings/Reshape_2 46387 46407
PolynomialDecay/Minimum 46301 46435
gradients/cls/seq_relationship/LogSoftmax_grad/Sum 46402 46481
bert/embeddings/ArithmeticOptimizer/AddOpsRewrite_Leaf_1_add_1 46412 46524
bert/encoder/layer_11/attention/self/dropout/add 46484 46557
bert/embeddings/ArithmeticOptimizer/AddOpsRewrite_add_1 46529 46616
bert/encoder/layer_10/attention/self/dropout/add 46563 46656
bert/embeddings/LayerNorm/moments/mean 46621 46686
bert/encoder/layer_9/attention/self/dropout/add 46661 46707
gradients/bert/embeddings/LayerNorm/moments/SquaredDifference_grad/sub 46691 46754
bert/encoder/layer_8/attention/self/dropout/add 46711 46795
bert/embeddings/LayerNorm/moments/SquaredDifference 46765 46856
bert/encoder/layer_7/attention/self/dropout/add 46812 46882
bert/embeddings/LayerNorm/moments/variance 46866 46962
bert/encoder/layer_6/attention/self/dropout/add 46886 46984
bert/embeddings/LayerNorm/batchnorm/add 46969 47038
bert/encoder/layer_5/attention/self/dropout/add 47002 47056
bert/embeddings/LayerNorm/batchnorm/Rsqrt 47042 47099
bert/encoder/layer_4/attention/self/dropout/add 47062 47120
bert/embeddings/LayerNorm/batchnorm/mul 47103 47165
bert/encoder/layer_3/attention/self/dropout/add 47130 47186
bert/embeddings/LayerNorm/batchnorm/mul_1 47175 47221
bert/encoder/layer_2/attention/self/dropout/add 47190 47251
bert/embeddings/LayerNorm/batchnorm/mul_2 47229 47292
bert/encoder/layer_1/attention/self/dropout/add 47261 47313
bert/embeddings/LayerNorm/batchnorm/sub 47300 47351
bert/encoder/layer_0/attention/self/dropout/add 47317 47371
bert/embeddings/LayerNorm/batchnorm/add_1 47356 47400
bert/encoder/layer_11/output/dropout/add 47375 47422
bert/embeddings/dropout/div 47405 47442
bert/encoder/layer_11/attention/output/dropout/add 47426 47462
bert/encoder/layer_10/output/dropout/add 47466 47508
bert/encoder/layer_10/attention/output/dropout/add 47512 47549
bert/encoder/layer_9/output/dropout/add 47553 47594
bert/encoder/layer_9/attention/output/dropout/add 47598 47634
bert/encoder/layer_8/output/dropout/add 47638 47676
bert/encoder/layer_8/attention/output/dropout/add 47681 47717
bert/encoder/layer_7/output/dropout/add 47721 47755
bert/encoder/layer_7/attention/output/dropout/add 47764 47800
bert/encoder/layer_6/output/dropout/add 47805 47839
bert/encoder/layer_6/attention/output/dropout/add 47847 47884
bert/encoder/layer_5/output/dropout/add 47888 47922
bert/encoder/layer_5/attention/output/dropout/add 47926 47968
bert/encoder/layer_4/output/dropout/add 47972 48007
bert/encoder/layer_4/attention/output/dropout/add 48011 48050
bert/encoder/layer_3/output/dropout/add 48055 48091
bert/encoder/layer_3/attention/output/dropout/add 48095 48138
bert/encoder/layer_2/output/dropout/add 48142 48208
bert/encoder/layer_2/attention/output/dropout/add 48212 48258
bert/encoder/layer_1/output/dropout/add 48262 48300
bert/encoder/layer_1/attention/output/dropout/add 48304 48339
bert/encoder/layer_0/output/dropout/add 48348 48384
bert/encoder/layer_0/attention/output/dropout/add 48388 48432
cls/predictions/add 48440 48475
gradients/concat_1 48479 48556
bert/embeddings/dropout/add 48569 48616
global_step/cond/Identity 48620 48630
ReadVariableOp_1 48633 48644
PolynomialDecay/div 48652 48660
bert/encoder/layer_11/attention/self/dropout/Floor 48663 48718
bert/encoder/layer_10/attention/self/dropout/Floor 48729 48760
bert/encoder/layer_9/attention/self/dropout/Floor 48764 48791
bert/encoder/layer_8/attention/self/dropout/Floor 48794 48829
bert/encoder/layer_7/attention/self/dropout/Floor 48832 48861
bert/encoder/layer_6/attention/self/dropout/Floor 48864 48897
bert/encoder/layer_5/attention/self/dropout/Floor 48901 48928
bert/encoder/layer_4/attention/self/dropout/Floor 48932 48965
bert/encoder/layer_3/attention/self/dropout/Floor 48968 48996
bert/encoder/layer_2/attention/self/dropout/Floor 48999 49033
bert/encoder/layer_1/attention/self/dropout/Floor 49036 49064
bert/encoder/layer_0/attention/self/dropout/Floor 49067 49100
bert/encoder/layer_11/output/dropout/Floor 49104 49132
bert/encoder/layer_11/attention/output/dropout/Floor 49135 49169
bert/encoder/layer_10/output/dropout/Floor 49172 49202
bert/encoder/layer_10/attention/output/dropout/Floor 49205 49237
bert/encoder/layer_9/output/dropout/Floor 49240 49269
bert/encoder/layer_9/attention/output/dropout/Floor 49273 49301
bert/encoder/layer_8/output/dropout/Floor 49308 49337
bert/encoder/layer_8/attention/output/dropout/Floor 49340 49368
bert/encoder/layer_7/output/dropout/Floor 49374 49404
bert/encoder/layer_7/attention/output/dropout/Floor 49407 49434
bert/encoder/layer_6/output/dropout/Floor 49438 49471
bert/encoder/layer_6/attention/output/dropout/Floor 49474 49502
bert/encoder/layer_5/output/dropout/Floor 49505 49537
bert/encoder/layer_5/attention/output/dropout/Floor 49540 49569
bert/encoder/layer_4/output/dropout/Floor 49572 49604
bert/encoder/layer_4/attention/output/dropout/Floor 49608 49636
bert/encoder/layer_3/output/dropout/Floor 49639 49666
bert/encoder/layer_3/attention/output/dropout/Floor 49674 49703
bert/encoder/layer_2/output/dropout/Floor 49706 49733
bert/encoder/layer_2/attention/output/dropout/Floor 49737 49770
bert/encoder/layer_1/output/dropout/Floor 49774 49801
bert/encoder/layer_1/attention/output/dropout/Floor 49804 49839
bert/encoder/layer_0/output/dropout/Floor 49843 49871
bert/encoder/layer_0/attention/output/dropout/Floor 49874 49907
gradients/cls/predictions/truediv_grad/RealDiv 49910 49966
bert/embeddings/dropout/Floor 50000 50036
global_step/cond/Merge 50040 50061
PolynomialDecay/sub_1 50070 50112
gradients/bert/encoder/layer_11/attention/self/dropout/mul_grad/Mul 50116 50156
gradients/bert/encoder/layer_10/attention/self/dropout/mul_grad/Mul 50171 50216
gradients/bert/encoder/layer_9/attention/self/dropout/mul_grad/Mul 50223 50263
gradients/bert/encoder/layer_8/attention/self/dropout/mul_grad/Mul 50277 50316
gradients/bert/encoder/layer_7/attention/self/dropout/mul_grad/Mul 50324 50368
gradients/bert/encoder/layer_6/attention/self/dropout/mul_grad/Mul 50375 50415
gradients/bert/encoder/layer_5/attention/self/dropout/mul_grad/Mul 50422 50498
gradients/bert/encoder/layer_4/attention/self/dropout/mul_grad/Mul 50506 50545
gradients/bert/encoder/layer_3/attention/self/dropout/mul_grad/Mul 50552 50596
gradients/bert/encoder/layer_2/attention/self/dropout/mul_grad/Mul 50603 50642
gradients/bert/encoder/layer_1/attention/self/dropout/mul_grad/Mul 50649 50694
gradients/bert/encoder/layer_0/attention/self/dropout/mul_grad/Mul 50701 50739
gradients/bert/encoder/layer_11/output/dropout/mul_grad/Mul 50751 50789
gradients/bert/encoder/layer_11/attention/output/dropout/mul_grad/Mul 50797 50831
gradients/bert/encoder/layer_10/output/dropout/mul_grad/Mul 50843 50882
gradients/bert/encoder/layer_10/attention/output/dropout/mul_grad/Mul 50890 50926
gradients/bert/encoder/layer_9/output/dropout/mul_grad/Mul 50937 50974
gradients/bert/encoder/layer_9/attention/output/dropout/mul_grad/Mul 50981 51019
gradients/bert/encoder/layer_8/output/dropout/mul_grad/Mul 51030 51068
gradients/bert/encoder/layer_8/attention/output/dropout/mul_grad/Mul 51075 51113
gradients/bert/encoder/layer_7/output/dropout/mul_grad/Mul 51126 51164
gradients/bert/encoder/layer_7/attention/output/dropout/mul_grad/Mul 51171 51206
gradients/bert/encoder/layer_6/output/dropout/mul_grad/Mul 51217 51257
gradients/bert/encoder/layer_6/attention/output/dropout/mul_grad/Mul 51264 51299
gradients/bert/encoder/layer_5/output/dropout/mul_grad/Mul 51310 51350
gradients/bert/encoder/layer_5/attention/output/dropout/mul_grad/Mul 51357 51393
gradients/bert/encoder/layer_4/output/dropout/mul_grad/Mul 51406 51448
gradients/bert/encoder/layer_4/attention/output/dropout/mul_grad/Mul 51455 51498
gradients/bert/encoder/layer_3/output/dropout/mul_grad/Mul 51505 51544
gradients/bert/encoder/layer_3/attention/output/dropout/mul_grad/Mul 51551 51590
gradients/bert/encoder/layer_2/output/dropout/mul_grad/Mul 51597 51637
gradients/bert/encoder/layer_2/attention/output/dropout/mul_grad/Mul 51644 51685
gradients/bert/encoder/layer_1/output/dropout/mul_grad/Mul 51692 51731
gradients/bert/encoder/layer_1/attention/output/dropout/mul_grad/Mul 51738 51779
gradients/bert/encoder/layer_0/output/dropout/mul_grad/Mul 51786 51824
gradients/bert/encoder/layer_0/attention/output/dropout/mul_grad/Mul 51830 51873
gradients/cls/predictions/Sum_1_grad/Reshape 51880 51892
gradients/bert/embeddings/dropout/mul_grad/Mul 51895 51938
bert/embeddings/dropout/mul 51945 51988
global_step/add 51992 52049
PolynomialDecay/Mul 52058 52096
gradients/cls/predictions/Sum_1_grad/Tile 52100 52187
bert/encoder/Reshape_1 52192 52212
PolynomialDecay 52292 52332
gradients/cls/predictions/mul_1_grad/Mul_1 52335 52387
bert/encoder/layer_0/attention/self/query/MatMul 52391 52448
bert/encoder/layer_0/attention/self/key/MatMul 52463 52514
bert/encoder/layer_0/attention/self/value/MatMul 52522 52591
gradients/cls/predictions/Neg_grad/Neg 52603 52646
bert/encoder/layer_0/attention/self/query/BiasAdd 52649 52708
bert/encoder/layer_0/attention/self/key/BiasAdd 52718 52752
bert/encoder/layer_0/attention/self/value/BiasAdd 52778 52812
gradients/cls/predictions/Sum_grad/Reshape 52817 52827
bert/encoder/layer_0/attention/self/Reshape 52831 52839
bert/encoder/layer_0/attention/self/Reshape_1 52842 52849
bert/encoder/layer_0/attention/self/Reshape_2 52852 52859
gradients/cls/predictions/Sum_grad/Tile 52862 52913
bert/encoder/layer_0/attention/self/transpose 52921 53002
bert/encoder/layer_0/attention/self/transpose_1 53009 53048
bert/encoder/layer_0/attention/self/transpose_2 53056 53092
gradients/cls/predictions/mul_grad/Mul 53106 53145
bert/encoder/layer_0/attention/self/MatMul 53149 53463
gradients/cls/predictions/LogSoftmax_grad/Sum 53472 53555
bert/encoder/layer_0/attention/self/Mul 53560 53632
bert/encoder/layer_0/attention/self/add 53637 53682
bert/encoder/layer_0/attention/self/Softmax 53686 53797
gradients/bert/encoder/layer_0/attention/self/Softmax_grad/mul_1 53805 53847
bert/encoder/layer_0/attention/self/dropout/div 53855 53892
bert/encoder/layer_0/attention/self/dropout/mul 53900 53935
bert/encoder/layer_0/attention/self/MatMul_1 53939 54150
bert/encoder/layer_0/attention/self/transpose_3 54160 54206
bert/encoder/layer_0/attention/self/Reshape_3 54214 54225
bert/encoder/layer_0/attention/output/dense/MatMul 54229 54275
bert/encoder/layer_0/attention/output/dense/BiasAdd 54283 54318
bert/encoder/layer_0/attention/output/dropout/div 54322 54357
bert/encoder/layer_0/attention/output/dropout/mul 54361 54393
bert/encoder/layer_0/attention/output/add 54397 54429
bert/encoder/layer_0/attention/output/LayerNorm/moments/mean 54434 54475
gradients/bert/encoder/layer_0/attention/output/LayerNorm/moments/SquaredDifference_grad/sub 54480 54519
bert/encoder/layer_0/attention/output/LayerNorm/moments/SquaredDifference 54527 54567
